pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist,ra,dec,disc_year
"GJ 849 b","GJ 849",1925.31000000000,2.3200000000,13.90000000,283.82076745,0.029000,73.63,8.80058000,332.4229938,-4.6408317,2006
"GJ 433 d","GJ 433",36.05900000000,0.1780000000,2.14000000,5.22300000,0.070000,279.71,9.06456000,173.8619194,-32.5436302,2020
"GJ 433 c","GJ 433",5094.10500000000,4.8190000000,6.27000000,32.42200000,0.120000,53.76,9.06456000,173.8619194,-32.5436302,2014
"GJ 433 b","GJ 433",7.37050000000,0.0620000000,2.33000000,6.04300000,0.040000,473.94,9.06456000,173.8619194,-32.5436302,2013
"GJ 367 c","GJ 367",11.53010000000,,1.86000000,4.13000000,0.090000,,9.41263000,146.1214640,-45.7790165,2023
"GJ 367 d","GJ 367",34.36900000000,,2.33000000,6.03000000,0.140000,,9.41263000,146.1214640,-45.7790165,2023
"GJ 367 b","GJ 367",0.32192260000,0.0071000000,0.73600000,0.50300000,0.000000,1329.00,9.41263000,146.1214640,-45.7790165,2021
"GJ 357 b","GJ 357",3.93060000000,0.0360000000,1.20000000,1.83000000,,518.00,9.44181000,144.0074644,-21.6650634,2019
"GJ 357 d","GJ 357",55.66100000000,0.2040000000,2.34000000,6.10000000,,219.60,9.44181000,144.0074644,-21.6650634,2019
"GJ 357 c","GJ 357",9.12470000000,0.0610000000,1.66000000,3.40000000,,401.20,9.44181000,144.0074644,-21.6650634,2019
"HD 285968 b","HD 285968",8.78360000000,0.0660000000,2.83000000,8.40000000,0.000000,450.00,9.47045000,70.7353853,18.9533580,2008
"GJ 3512 c","GJ 3512",2354.00000000000,1.7310000000,14.30000000,143.97626837,0.089000,42.92,9.48637000,130.3316616,59.4918364,2020
"GJ 3512 b","GJ 3512",203.10900000000,0.3376000000,14.30000000,146.51889563,0.427900,97.19,9.48637000,130.3316616,59.4918364,2019
"G 192-15 b","G 192-15",2.27476000000,0.0172300000,1.02000000,1.03000000,0.000000,453.60,9.53114000,90.6220931,49.8619390,2025
"G 192-15 c","G 192-15",1219.00000000000,1.1370000000,3.87000000,14.30000000,0.676000,55.90,9.53114000,90.6220931,49.8619390,2025
"Wolf 1069 b","Wolf 1069",15.56400000000,0.0672000000,1.08000000,1.26000000,,250.10,9.58341000,306.5242477,58.5753044,2023
"GJ 680 b","GJ 680",17281.66514000000,10.1380000000,12.00000000,7977.49301570,0.381000,36.57,9.67315000,263.8072214,-48.6788427,2022
"AU Mic c","AU Mic",18.85902300000,0.1190000000,2.79000000,14.46000000,0.180000,424.70,9.72210000,311.2911369,-31.3424500,2021
"AU Mic b","AU Mic",8.46344600000,0.0700000000,4.79000000,8.99000000,0.070000,554.80,9.72210000,311.2911369,-31.3424500,2020
"AU Mic d","AU Mic",12.73596000000,,1.02000000,1.05300000,0.003050,,9.72210000,311.2911369,-31.3424500,2023
"AU Mic e","AU Mic",33.11000000000,,4.87000000,21.10000000,,,9.72210000,311.2911369,-31.3424500,2025
"GJ 436 b","GJ 436",2.64388312000,0.0291000000,4.17000000,22.10000000,0.138270,686.00,9.75321000,175.5505363,26.7030669,2004
"Gl 49 b","Gl 49",13.85080000000,0.0905000000,2.24000000,5.63000000,0.363000,435.99,9.85280000,15.6687321,62.3454386,2019
"GJ 3988 b","GJ 3988",6.94420000000,0.0405000000,1.74000000,3.69000000,0.000000,348.00,9.91050000,255.8503747,51.4089795,2023
