main_id,ra,dec,plx_value,pmra,pmdec,rvz_radvel,sp_type,otype_txt,flux
"G 254-29",176.9224454840937,78.69116006356583,190.3251,748.418,480.804,-111.51,"M4.0V","PM*",
"G   9-38",134.5627574,19.7630445,190.0,-862.0,-54.0,13.0,"M7V+M7V","**",
"UCAC4 195-119117",235.18140187997787,-51.026656989971386,187.729,1949.461,-324.789,86.529,"M7.0V","PM*",
"NAME HD 101847BC",175.79911253208334,-39.43232140305555,187.2,-319.83,203.84,,,"**",
"LP  656-38",75.48927554894667,-6.946215633749168,186.0466,-551.746,-533.648,42.49,"M4.0Ve","PM*",12.196
"NAME LP 656-38c",75.48927554894667,-6.946215633749168,186.0466,-551.746,-533.648,,,"Pl",
"NAME LP 656-38b",75.48927554894667,-6.946215633749168,186.0466,-551.746,-533.648,,,"Pl",
"2MASS J02540788+0223563",43.53285999999999,2.398985,185.0,2578.0,309.0,,"T8.0","BD*",
"HD 119850",206.43239816550954,14.891519918732497,183.9962,1776.006,-1455.156,15.74,"M2V","PM*",8.5
"EGGR 180",67.80238099867749,58.978136863278614,181.273,1334.78,-1947.638,2.0,"DC5","WD*",
"G 175-34",67.79797678916874,58.97707329124862,181.2438,1300.365,-2046.106,29.05,"M4.0V","PM*",10.98
"GJ 251 c",103.70399193056876,33.268177300671944,179.0629,-726.672,-398.102,,,"Pl",
"HD 265866",103.70399193056876,33.268177300671944,179.0629,-726.672,-398.102,23.04,"M3V","PM*",
"HD 265866b",103.70399193056876,33.268177300671944,179.0629,-726.672,-398.102,,,"Pl?",
"LP  816-60",313.13756918394324,-16.974723133873056,177.9312,-309.115,37.051,16.46,"M4V","PM*",11.458
"2MASS J11145133-2618235",168.71390499999998,-26.306545,176.8,-2927.2,-374.2,,"T7.5","BD*",
"WISE J035000.32-565830.2",57.50248537499999,-56.973400805555556,176.4,-208.7,-575.4,,"Y1","BD*",
"WISEP J174124.25+255319.5",265.35258600000003,25.892878,176.0,-495.0,-1472.0,,"T9","BD*",
"LSR J1835+3259",278.90783384444705,32.99814336087223,175.793,-72.65,-755.146,8.4,"M8.5V","PM*",
"HD  36395",82.8641491050671,-3.6772288901391654,175.3131,761.631,-2092.209,8.56,"M1.5Ve","PM*",7.968
"2MASSI J0415195-093506",63.831432,-9.585187000000001,174.34,2193.0,527.0,49.6,"T8.0","BD*",
"Gaia DR3 6305165514134625024",224.9766109720996,-18.53771255437806,174.0253,8.936,-9.868,,,"*",
"HD  42581",92.64422889923625,-21.86462676470167,173.574,-135.692,-719.178,4.63,"M1V","PM*",8.125
"HD  42581b",92.64422889923625,-21.86462676470167,173.574,-135.692,-719.178,,,"Pl",
"HD  42581c",92.64422889923625,-21.86462676470167,173.574,-135.692,-719.178,,,"Pl",
"HD  42581d",92.64422889923625,-21.86462676470167,173.574,-135.692,-719.178,,,"Pl",
"* sig Dra",293.0899592077504,69.66117661255723,173.4939,597.384,-1738.286,26.734,"K0V","PM*",4.68
"HD  42581B",92.645,-21.866666666666667,173.19,-137.0,-714.1,,"T6.5","BD*",
"Ross   47",85.53861536337459,12.489334676545553,172.6762,1997.342,-1569.355,106.24,"M4V","BY*",11.509
"HD 131977",224.36666996615494,-21.41547979591945,169.8843,1031.472,-1723.619,26.987,"K4V","BY*",5.72
"HD 131977b",224.36666996615494,-21.41547979591945,169.8843,1031.472,-1723.619,,,"Pl?",
"L  205-128",266.64263781037704,-57.31904401366557,169.8042,-1116.909,-1353.927,-42.937,"M3.5V","PM*",10.783
"GJ 570 D",224.312344,-21.363264,169.3,1038.08,-1677.69,28.9,"T8","BD*",
"L  347-14",290.1999346677496,-45.55823431625721,169.2351,658.775,-2896.15,6.601,"M4.5V","PM*",12.23
"V* BR Psc",357.3021878550325,2.401223743581389,169.2163,992.72,-968.806,-71.16,"dM1","BY*",8.993
"HD 180617",289.23023570363335,5.1689001539355575,169.0615,-579.081,-1332.868,35.884,"M3-V","PM*",9.115
"HD 180617b",289.23023570363335,5.1689001539355575,169.0615,-579.081,-1332.868,,,"Pl",
"CD-40  9712",233.05388462875788,-41.27559178719,168.9965,-1176.447,-1030.97,21.459,"M2.5V","PM*",9.311
"VB 10",289.2400456449525,5.150444700948055,168.9537,-598.761,-1366.063,36.7,"M8V","PM*",17.3
"* eta Cas",12.276227476217503,57.81517728880999,168.8322,1078.609,-551.133,8.404,"F9V","PM*",3.44
"HD 131976",224.3605554166666,-21.411549388888883,168.77,961.78,-1677.83,25.9,"M1.5V","SB*",8.065
"* eta Cas B",12.271632750996249,57.81782624126639,168.7186,1144.693,-469.668,8.6837,"K7Ve","PM*",7.51
"*  36 Oph",258.8374330733334,-26.602821420833333,168.54,-465.31,-1140.97,0.38,"K2V+K1V","**",
"*  36 Oph B",258.83743260923,-26.602825956905555,168.1303,-465.861,-1141.168,0.1,"K1V","PM*",5.03
"*  36 Oph A",258.8365985355513,-26.601699224429723,168.0031,-498.6,-1149.158,0.62,"K2V","PM*",5.08
"V* V2215 Oph",259.0556767257492,-26.54614904538722,167.9617,-479.573,-1124.332,-0.09,"K5V","RS*",6.34
"HD 155876",258.03296559345796,45.66589324737053,167.29,348.59,-1624.84,-30.9,"M3V","SB*",9.523
"V* YZ CMi",116.16738460269337,3.5524653409927773,166.9769,-347.782,-445.702,26.66,"M4.0Ve","PM*",11.225
"WISE J154151.65-225024.9",235.46787133333333,-22.840196111111116,166.9,-902.8,-91.4,,"Y0","BD*",
"HD 191408",302.7997448709225,-36.10120881266862,166.3272,458.882,-1576.732,-129.3,"K2.5V","PM*",5.32
"* e Eri c",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,,,"Pl",
"* e Eri b",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,,,"Pl",
"* e Eri e",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,,,"Pl",
"* e Eri f",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,,,"Pl?",
"* e Eri d",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,,,"Pl",
"* e Eri",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,87.882,"G6V","PM*",4.27
"* e Eri g",49.9818788009275,-43.069781996785,165.5242,3035.017,726.964,,,"Pl?",
"V* QY Aur",107.50763989947708,38.52946847313889,165.2147,-439.42,-944.793,66.968002,"M4.5Ve","SB*",11.52
"* del Pav",302.1817036316884,-66.18206743589695,163.9544,1211.761,-1130.237,-21.543,"G8IV","PM*",3.56
"SIMP J013656.5+093347.3",24.23566892492917,9.563142212769169,163.4478,1238.244,-16.156,11.5,"T2.0","BD*",
"2MASSI J0937347+293142",144.395332,29.528053,163.39,973.0,-1298.0,-5.0,"T6","BD*",
"HD 191849",303.4724843743875,-45.16401959745389,162.2171,778.331,-159.939,-32.961,"M0V","PM*",7.966
"BD+19  5116",352.96741241175175,19.937264025562538,161.76,554.64,-60.43,1.5,"M3.5V","**",10.165
"WISE J220905.73+271143.9",332.2700207083333,27.19948402777778,161.7,1202.2,-1365.4,,"Y0V","BD*",
"HD 152751",253.86982320416666,-8.336329958055554,161.41,-825.84,-873.53,14.89,"M3.5Ve","SB*",9.023
"EGGR 372",267.03330341493705,70.87664501391278,160.9952,-1266.387,1108.801,,"DQ9P","WD*",
"BD-11  3759",218.57004859310788,-12.519559582093887,159.9225,-355.138,593.04,-1.28,"M3.5V","BY*",11.317
"NAME HN Lib b",218.57004859310788,-12.519559582093887,159.9225,-355.138,593.04,,,"Pl?",
"BD+19  5116B",352.9690639074758,19.93722361842083,159.9085,552.349,20.275,3.41,"M4.0Ve","PM*",
"GJ 896 Ab",352.9673910466166,19.937258443956946,159.6634,578.009,-59.769,,,"Pl?",
"BD+19  5116A",352.9673910466166,19.937258443956946,159.6634,578.009,-59.769,0.31,"M3.5Ve","PM*",10.35
"BD-07  4003b",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,,,"Pl",
"BD-07  4003d",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,,,"Pl",
"BD-07  4003c",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,,,"Pl",
"BD-07  4003g",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,,,"Pl?",
"BD-07  4003e",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,,,"Pl",
"BD-07  4003f",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,,,"Pl?",
"BD-07  4003",229.86177891146036,-7.722274860407221,158.7183,-1221.278,-97.229,-9.24,"M3V","BY*",10.56
"WISE J140518.39+553421.3",211.33853904166665,55.57191069444445,158.2,-2334.8,226.8,,"Y0(pec?)","BD*",
"HD  79210",138.59489526034582,52.686608750931384,157.8879,-1545.787,-569.053,11.5,"K7V","SB*",
"HD  79211b",138.60284519441623,52.686361797752774,157.8825,-1573.04,-659.906,,,"Pl?",
"HD  79211",138.60284519441623,52.686361797752774,157.8825,-1573.04,-659.906,12.43,"M0V","PM*",
"LP  368-128",135.09810882668793,21.834694814169445,157.2686,-514.942,-592.253,9.26,"M6.5Ve","PM*",16.1
"2MASS J15031961+2525196",225.83171209743372,25.422165466394166,155.7758,87.414,557.78,-40.5,"T5.5","BD*",
"LP  944-20",54.89688479175417,-35.428789443425835,155.5982,309.001,269.058,7.43,"M9.5Ve","LM*",18.69
"EGGR  45",88.78971036312959,-4.168629261394723,155.2373,535.249,-2317.011,,"DZ11","WD*",14.45
"V* GL Vir",184.74749886977372,11.126048121199167,154.6999,-1269.771,203.444,6.0,"M4.5Ve","PM*",13.9
"NAME G 202-48b",246.35259599522124,54.304101518233324,154.3503,432.23,-171.652,,,"Pl",
"G 202-48",246.35259599522124,54.304101518233324,154.3503,432.23,-171.652,-13.01,"M1.5V","PM*",10.07
"VB  8",253.89689890597333,-8.39465363140972,153.9659,-813.038,-870.609,15.68,"M7Ve","LM*",16.916
"HD 152751C",253.85509268901828,-8.322582491435277,153.8754,-817.58,-898.595,15.839,"M3.5V","PM*",11.759
"L  100-115",145.69309564629958,-68.88500248283722,153.7593,-75.828,1128.849,30.96,"M4.0V","PM*",12.78
"HD 219134h",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"HD 219134e",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"HD 219134",348.3207290015033,57.16835661767194,152.864,2074.414,294.452,-18.475,"K3V","PM*",5.57
"HD 219134f",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"NAME HD 219134.04",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl?",
"HD 219134g",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"HD 219134d",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"HD 219134c",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"HD 219134b",348.3207290015033,57.16835661767193,152.864,2074.414,294.452,,,"Pl",
"WISEA J082507.37+280548.2",126.28085112499996,28.09746211111111,152.6,-66.7,-235.8,,"Y0.5","BD*",
"WISE J041022.71+150248.4",62.59198383333333,15.053051111111111,151.3,960.3,-2219.4,,"Y0","BD*",
"L  471-42",189.70457672061582,-38.381575117324445,150.0781,-665.164,-1312.638,27.885,"M4.5V","PM*",12.74
"* ksi Boo",222.8474163722046,19.100472048411426,148.98,154.98,-66.43,-21.3,"G7Ve+K5Ve","BY*",4.593
"NAME Scholz's star",110.013557,-8.780528999999998,148.8,-52.7,-95.8,83.1,"M9.5+T5","LM*",
"Ross  104",165.01773753095082,22.832956947207222,148.1986,-426.958,-282.298,3.29,"M4V","PM*",10.02
"* ksi Boo B",222.84601533759,19.10191326331,148.1793,133.376,-182.059,2.29,"K5Ve","PM*",6.816
"* ksi Boo A",222.84745194146,19.10044994484,148.0695,127.468,-40.569,1.49,"G7Ve","PM*",4.675
"Ross  619",122.98987155390793,8.773042468212774,147.7218,1069.812,-5094.22,14.597,"M4.5V","PM*",12.834
"Ross  775",322.4033832271551,17.643295969293057,147.4958,1007.04,378.4,-25.109,"M3.0V","SB*",10.303
"G  41-14",134.73467,8.4739078,146.97,382.3,-326.5,-5.91496,"M3.5V","SB*",10.98
"2MASS J19284155+2356016",292.17295430678786,23.93393621721361,146.4067,-246.999,240.43,,"T6","BD*",
"HD 156384",259.7381867998679,-34.98976154533223,146.29,1129.76,-77.02,0.0,"K3V+K5V","**",5.89
"NAME BD-17 588Ab",45.46414028376999,-16.59334199403472,145.6922,-369.972,-267.931,,,"Pl",
"NAME BD-17 588Ac",45.46414028376999,-16.59334199403472,145.6922,-369.972,-267.931,,,"Pl?",
"BD-17   588A",45.46414028376999,-16.59334199403472,145.6922,-369.972,-267.931,-6.1,"M3V","PM*",10.529
"NAME LTT 1445Ad",45.46414028376999,-16.59334199403472,145.6922,-369.972,-267.931,,,"Pl?",
"HD 216899",344.14501938785963,16.553432121274447,145.6234,-1034.733,-284.131,-27.5,"M1.5V","PM*",8.638
"CWISE J105512.11+544328.3",163.81161604166667,54.72554863888889,145.0,-1518.7,-222.7,,"sdT8","BD*",
"Wolf  358",162.7167968251621,6.808127671502777,143.5391,-856.289,-818.583,-0.85,"M4V","BY*",11.675
"NAME BD-17 588BC",45.462820300000004,-16.5919628,142.57,-388.3,-281.1,-5.592,"M2.5V","**",10.59
"BD+01  2447",157.2314636792975,0.8409996957155557,142.0951,-602.992,-731.882,8.36,"dM2","PM*",9.65
"GJ 393 b",157.2314636792975,0.8409996957155557,142.0951,-602.992,-731.882,,,"Pl?",
"HD 199305",313.3324538386721,62.154393683718055,142.0543,0.259,-773.096,-17.168,"M1.0V","PM*",
"LSPM J2146+3813",326.59196860781,38.21804925273,141.8946,161.454,-119.739,-82.622,"M5V","PM*",
"LP  914-54",224.15943113148623,-28.163505320412494,141.7891,-490.285,-843.482,1.0,"M7.0Ve","Em*",17.141
"2MASS J05212615+1025328",80.358986,10.425799,141.2,216.0,-418.2,,"T7.5","BD*",
"WISE J205628.91+145953.2",314.117960875,14.99661138888889,140.8,825.8,528.8,,"Y0","BD*",
"L  230-188",62.61718081343875,-53.60226070933555,140.6961,-825.179,-2415.578,0.052,"M4.5V","PM*",13.58
