ra,dec,sp_type,flux
318.33543419187,-70.12625470991,"M1/2III",5.071
235.47786691448,-76.08196439475,"B9V",5.941
209.41201490412996,-63.68669831684,"K1.5IIIb:",4.701
205.04461564139,-64.5765533173,"F2III/IV",5.785
310.51244691374,-76.18059206011,"F6II/III",5.977
345.22003148243,-52.75411085788,"K1IIIFe-1.2CN-0.5",4.115
327.69656301654993,-69.62937402654,"K2/3III",5.505
224.47076466101,-76.66265469388,"K4III:",5.359
195.88877129561996,-49.52726358175,"A0V",4.826
208.70462658174998,-67.65210149016,"K2III",5.705
207.94764232500998,-69.40125802555,"K5/M0III",5.727
277.33309984576,-80.23270700495,"K2III",5.946
248.3628438138967,-78.89714816863112,"G8III",3.854
198.56310307495997,-59.10323722999001,"F6VFe-0.4",4.93
200.65805458993415,-60.988380600585835,"B3V",4.509
193.6484344215275,-57.17792469914083,"B2IV-V",4.04
193.65368399564,-57.16866497733,"B5Vne",5.2
193.98805677119,-56.83580571397,"O8.5Iab(f)p",5.32
198.55036185907997,-58.68393906976,"K0/1III",5.9
351.05525322647,-51.89117334304,"M0III",5.731
349.35731852264,-58.23570137616001,"F4V",3.98
190.34576982193997,-46.145583339519995,"K3/5III",5.816
194.26813093588,-51.198753582100004,"B2IV",5.159
215.59663816720376,-80.10895512187277,"B3V",5.052
351.6523374979,-52.72157763741,"F4V",5.522
308.32348585807995,-80.96488734688,"G6/8II",5.767
349.24036453178,-62.00119779668,"F6V",5.647
309.57752648651,-81.28906281193,"K5III",5.889
198.20334483117,-66.22674880629,"A0V(n)",5.897
197.96433664569997,-69.94201586432,"F3IV/V",5.906
192.82490011152998,-60.32978899114,"B9.5Iab",5.72
191.40854861858,-60.98132118807,"K0III",4.686
187.00992548273499,-50.23063797449278,"B2V",3.91
189.42568374919998,-48.54130535928,"A1IVnn",3.86
190.78824425268996,-56.17622729189,"B7/8V",5.982
191.59464352716373,-56.488815491873886,"B2/3V",4.62
191.9302865619529,-59.68877199622606,"B1IV",1.25
351.33110321091,-56.84898376169,"K0III",5.597
235.82053478035,-84.46527466544,"A1/2V",5.568
335.0070025958396,-80.43974713422168,"M5III",5.177
351.81246972213,-58.47610856853001,"G8III",5.636
334.4608143113899,-77.51155520419,"F0IIp",5.472
352.25408981369,-63.11065544292,"ApSi",5.68
354.4624767675046,-45.49235208473639,"A1/2V",4.74
225.46165949948997,-83.22764730636,"G8/K0III",5.641
214.55789958255997,-81.00775849839,"A2mA7-F2",4.889
226.19551355932998,-83.03831097558,"G8Ib",5.645
192.43733405683997,-71.98624146881,"G7IIIBa1",5.543
227.7866339172,-84.78778597856,"B9.5V",5.866
201.27966206892998,-74.8878194833,"K0III",5.04
194.13203790675,-72.18521306953,"G8III",5.928
189.29590786916668,-69.1355647886111,"B2IV",2.649
190.70944315516,-63.05862582817001,"B0.5IVpe",5.31
187.79149837560794,-57.11321345705891,"M3.5III",1.64
186.63233351866413,-51.45063581013528,"B3V(n)",4.808
359.73241451497995,-52.74580625634001,"K0III",5.133
187.47582964827998,-56.524937631060006,"M1III",5.776
185.48928179755998,-56.37438487446,"K4III+(F)",5.884
356.81665175693,-50.22645888409,"B3V",5.166
359.39616103627,-64.29822981874,"A1V",4.989
184.58676960730585,-79.31223407416667,"B4V",4.229
205.23118061035,-85.78604226753,"A2mA5-A8",5.555
337.90631318556,-85.96725290015,"K0III",5.752
359.38692394875,-82.16980824557,"K0III",5.724
181.19362846858,-76.51906248099,"K4III",5.024
